1000,0.0350677,0.0337847,0.0329294,0.03464,0.0200998,0.224091,0.199715,0.1933,0.118888,0.117605,
2000,0.0376336,0.0380613,0.037206,0.0376336,0.0380613,0.287384,0.246329,0.260014,0.245046,0.245046,
3000,0.0620099,0.0628652,0.0632929,0.0620099,0.0615823,0.417819,0.382323,0.38104,0.410549,0.401995,
4000,0.118033,0.115894,0.136422,0.121454,0.12573,0.722309,0.653456,0.724447,0.772772,0.899786,
5000,0.11846,0.112901,0.112901,0.113329,0.110335,0.701354,0.613257,0.632501,0.620527,0.623093,
6000,0.0863863,0.0859586,0.102637,0.101354,0.0876692,0.942551,0.971632,1.22181,1.17348,0.835637,
7000,0.0504633,0.0342124,0.0333571,0.0337847,0.0449037,0.973342,0.89166,0.837348,0.839059,0.830505,
8000,0.158232,0.10948,0.121454,0.0962223,0.0962223,0.918602,0.924162,0.913043,0.906628,0.935709,
9000,0.200998,0.200142,0.199715,0.217249,0.209551,1.10506,1.10677,1.18931,1.10677,1.09693,
10000,0.327156,0.322452,0.316464,0.314754,0.313899,1.29066,1.28639,1.62637,1.33941,1.2928,
11000,0.31176,0.298931,0.378474,0.365645,0.403278,1.96807,2.40812,2.63991,2.79002,2.98417,
12000,0.170207,0.172773,0.171062,0.170634,0.193728,1.71147,1.69608,1.70506,1.74868,1.63364,
13000,0.224091,0.214683,0.202708,0.205702,0.227085,2.02708,2.08268,2.04932,2.10834,1.98945,
14000,0.230934,0.254882,0.254882,0.247184,0.247612,1.62979,1.6315,1.6717,1.63236,1.69223,
15000,0.271133,0.258303,0.259159,0.33742,0.285673,2.65403,2.60869,2.68524,3.03464,2.6861,
16000,0.271988,0.315182,0.315182,0.307056,0.294654,3.26771,3.02523,3.0402,2.8469,2.83663,
17000,0.317747,0.317747,0.308339,0.288667,0.288667,3.01411,3.00085,3.02266,3.02395,3.07398,
18000,0.281824,0.247612,0.246757,0.246757,0.247184,2.88924,2.51204,2.48852,2.46671,2.48382,
19000,0.480684,0.508481,0.507626,0.47769,0.51062,2.43678,2.43421,2.41411,2.44405,2.49579,
20000,0.466571,0.473414,0.442623,0.442623,0.439201,2.51461,2.50563,2.54283,2.6814,2.54882,
