1000,0.022238,0.0209551,0.0196721,0.0192445,0.0192445,0.167641,0.141126,0.136422,0.135994,0.135139,,0.02027084,0.0029935,0.1432644,0.032502
2000,0.0303635,0.0307911,0.0312188,0.0337847,0.0286529,0.270278,0.263008,0.266429,0.29722,0.235638,,0.0309622,0.0051318,0.2665146,0.061582
3000,0.0590164,0.0444761,0.0431931,0.0440484,0.0436208,0.419957,0.419529,0.397291,0.440912,0.395581,,0.04687096,0.0158233,0.414654,0.045331
4000,0.0714183,0.0564504,0.0555951,0.0564504,0.0564504,0.743264,0.516607,0.525588,0.480684,0.480684,,0.05927292,0.0158232,0.5493654,0.26258
5000,0.0722736,0.0722736,0.073129,0.0727013,0.073129,0.605131,0.585032,0.589736,0.589308,0.558089,,0.0727013,0.0008554,0.5854592,0.047042
6000,0.101354,0.101782,0.101354,0.101782,0.101354,0.756094,0.745402,0.755666,0.742409,0.735994,,0.1015252,0.000428,0.747113,0.0201
7000,0.118888,0.146258,0.11846,0.1531,0.11846,0.771489,0.747113,0.803563,0.912615,0.774483,,0.1310332,0.03464,0.8018526,0.165502
8000,0.124448,0.112046,0.112901,0.123592,0.112046,0.889949,0.919458,0.888667,0.870277,0.87883,,0.1170066,0.012402,0.8894362,0.049181
9000,0.151817,0.154383,0.153528,0.151817,0.195866,1.03364,1.03492,1.07683,1.03364,1.08795,,0.1614822,0.044049,1.053396,0.05431
10000,0.139843,0.140698,0.15866,0.141126,0.141554,1.1474,1.15125,1.16536,1.18974,1.15467,,0.1443762,0.018817,1.161684,0.04234
11000,0.160371,0.1732,0.189023,0.1933,0.189879,1.69522,1.7149,1.66229,1.81882,1.96037,,0.1811546,0.032929,1.77032,0.29808
12000,0.189451,0.168068,0.168496,0.168068,0.168496,1.87569,1.54383,1.58489,1.79401,1.5665,,0.1725158,0.021383,1.672984,0.33186
13000,0.215538,0.215538,0.247612,0.212972,0.214683,1.93172,1.98817,2.02067,1.9283,1.94198,,0.2212686,0.03464,1.962168,0.09237
14000,0.219387,0.254882,0.254882,0.220242,0.218104,1.54982,1.58788,1.54597,1.57976,1.56735,,0.2334994,0.036778,1.566156,0.04191
15000,0.210406,0.209123,0.209551,0.24077,0.237776,2.32003,2.31147,2.55224,2.57705,3.47812,,0.2215252,0.031647,2.647782,1.16665
16000,0.233927,0.27541,0.266429,0.236065,0.270705,2.85844,2.91233,2.88282,2.8593,3.19672,,0.2565072,0.041483,2.941922,0.33828
17000,0.292088,0.304063,0.301497,0.283963,0.283963,3.72958,3.6077,3.30406,3.25402,3.48111,,0.2931148,0.0201,3.475294,0.47556
18000,0.276265,0.280541,0.251033,0.252744,0.250178,2.47612,2.55994,2.4774,2.54155,2.50092,,0.2621522,0.030363,2.511186,0.08382
19000,0.266001,0.26814,0.267712,0.298931,0.268995,2.37605,2.34141,2.38161,2.46329,2.36408,,0.2739558,0.03293,2.385288,0.12188
20000,0.336564,0.298075,0.299358,0.349822,0.29722,2.48981,2.50092,2.47826,2.53471,2.49708,,0.3162078,0.052602,2.500156,0.05645
21000,0.308339,0.425944,0.31005,0.336564,0.306628,2.41924,2.93628,2.42138,2.40599,2.42138,,0.337505,0.119316,2.520854,0.53029
22000,0.379757,0.414825,0.407127,0.416963,0.406272,3.48025,3.53115,3.48667,3.48496,3.48581,,0.4049888,0.037206,3.493768,0.0509
23000,0.348966,0.343407,0.345973,0.345117,0.361796,3.51874,3.49223,3.50335,3.54355,3.47085,,0.3490518,0.018389,3.505744,0.0727
24000,0.447754,0.520456,0.586315,0.467427,0.470848,3.99857,5.07541,4.61568,4.04647,3.7732,,0.49856,0.138561,4.301866,1.30221
25000,0.395581,0.423806,0.418674,0.419957,0.393442,4.18973,3.99558,4.0469,4.01995,4.01097,,0.410292,0.030364,4.052626,0.19415
26000,0.492231,0.434925,0.516179,0.524305,0.5799,3.94982,4.534,6.46144,5.94312,4.06999,,0.509508,0.144975,4.991674,2.51162
27000,0.404989,0.378902,0.407983,0.378474,0.377191,4.13328,4.03407,4.07042,4.19487,4.03792,,0.3895078,0.030792,4.094112,0.1608
28000,0.512758,0.543977,0.544404,0.547398,0.560655,4.11917,4.37149,4.39971,4.63492,4.00841,,0.5418384,0.047897,4.30674,0.62651
